state_school_id,district_number,district_name,school_number,school_name,school_type_code,school_type_desc,charter_school,title_i,alternative_ese_center,ela_achievement,ela_learning_gains,math_achievement,math_learning_gains,science_achievement,social_studies_achievement,graduation_rate,career_college_acceleration,total_points,total_components,percent_total_points,percent_tested,grade_2025,grade_2024,econ_disadv_pct,source_url
350031,35,LAKE,0031,BEVERLY SHORES ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,41,62,53,76,56,,,,479,8,60,99,B,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350035,35,LAKE,0035,LAKE SUCCESS ELEMENTARY SCHOOL,01,Elementary,NO,NO,A,34,40,40,43,38,,,,311,8,39,98,D,C,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350061,35,LAKE,0061,EUSTIS ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,40,55,49,60,44,,,,386,8,48,95,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350067,35,LAKE,0067,SAWGRASS BAY ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,49,50,53,44,51,,,,388,8,49,99,C,B,64.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350068,35,LAKE,0068,GRASSY LAKE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,64,53,75,60,60,,,,466,8,58,100,B,B,51.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350069,35,LAKE,0069,SORRENTO ELEMENTARY,01,Elementary,NO,NO,N,62,65,69,60,50,,,,485,8,61,97,B,C,78.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350071,35,LAKE,0071,EUSTIS HEIGHTS ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,34,40,40,43,38,,,,311,8,39,98,D,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350080,35,LAKE,0080,EAST RIDGE MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,71,67,74,67,68,83,,,637,9,71,99,A,A,48.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350081,35,LAKE,0081,EUSTIS HIGH SCHOOL,03,Senior High,NO,NO,N,48,51,33,43,66,74,86,53,560,10,56,96,C,C,87.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350101,35,LAKE,0101,FRUITLAND PARK ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,36,56,46,48,51,,,,373,8,47,98,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350113,35,LAKE,0113,GRAY MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,45,52,52,58,40,64,,,487,9,54,98,C,C,88.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350119,35,LAKE,0119,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,01,Elementary,NO,YES,N,67,59,75,72,54,,,,531,8,66,99,A,B,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350141,35,LAKE,0141,SEMINOLE SPRINGS ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,52,57,57,61,62,,,,427,8,53,98,C,B,96.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350149,35,LAKE,0149,ROUND LAKE CHARTER SCHOOL,04,Combination,YES,NO,N,81,69,92,82,66,98,,,778,10,78,99,A,A,27.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350161,35,LAKE,0161,LEESBURG HIGH SCHOOL,03,Senior High,NO,YES,N,41,55,27,34,55,49,91,53,502,10,50,96,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350181,35,LAKE,0181,MT. DORA HIGH SCHOOL,03,Senior High,NO,NO,N,62,58,57,52,68,77,99,87,659,10,66,96,A,A,67.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350211,35,LAKE,0211,TAVARES HIGH SCHOOL,03,Senior High,NO,NO,N,49,58,41,40,55,75,92,86,601,10,60,98,B,B,84.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350213,35,LAKE,0213,TAVARES MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,50,56,55,60,57,67,,,546,9,61,99,B,C,97.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350231,35,LAKE,0231,UMATILLA HIGH SCHOOL,03,Senior High,NO,YES,N,48,50,44,41,68,65,97,77,579,10,58,97,B,C,84.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350241,35,LAKE,0241,TREADWAY ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,58,65,66,72,53,,,,497,8,62,95,A,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350251,35,LAKE,0251,OAK PARK MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,38,50,46,52,30,60,,,451,9,50,97,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350261,35,LAKE,0261,MINNEOLA CHARTER SCHOOL,04,Combination,YES,NO,N,70,61,81,73,69,89,,,706,10,71,100,A,A,50.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350271,35,LAKE,0271,ASTATULA ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,47,55,51,60,59,,,,433,8,54,100,B,B,95.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350281,35,LAKE,0281,LOST LAKE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,64,59,70,63,68,,,,486,8,61,99,B,B,55.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350291,35,LAKE,0291,LEESBURG ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,34,45,39,46,41,,,,334,8,42,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350351,35,LAKE,0351,CARVER MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,45,53,46,49,34,58,,,452,9,50,98,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350382,35,LAKE,0382,GROVELAND ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,37,48,40,47,50,,,,359,8,45,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350411,35,LAKE,0411,MT. DORA MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,47,54,56,54,48,60,,,498,9,55,96,C,B,86.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350431,35,LAKE,0431,LAKE POINTE ACADEMY,04,Combination,NO,NO,N,44,52,54,66,38,73,,,534,10,53,96,C,C,81.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350471,35,LAKE,0471,AURELIA M. COLE ACADEMY,04,Combination,NO,NO,N,56,57,62,60,53,79,,,615,10,62,96,B,C,83.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350481,35,LAKE,0481,WINDY HILL MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,62,62,64,61,59,74,,,571,9,63,99,B,B,51.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350521,35,LAKE,0521,TRIANGLE ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,38,48,37,45,47,,,,347,8,43,97,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350541,35,LAKE,0541,MASCOTTE CHARTER SCHOOL,01,Elementary,YES,NO,N,56,58,63,69,47,,,,471,8,59,99,B,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350551,35,LAKE,0551,TAVARES ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,49,60,50,58,60,,,,420,8,53,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350561,35,LAKE,0561,UMATILLA ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,51,55,64,70,53,,,,453,8,57,96,B,B,99.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350571,35,LAKE,0571,UMATILLA MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,49,54,62,57,52,75,,,538,9,60,97,B,B,91.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350591,35,LAKE,0591,PINE RIDGE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,55,63,65,63,75,,,,470,8,59,99,B,B,66.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350597,35,LAKE,0597,CYPRESS RIDGE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,76,62,86,80,83,,,,582,8,73,100,A,A,35.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350631,35,LAKE,0631,SPRING CREEK CHARTER SCHOOL,04,Combination,YES,YES,N,54,62,57,67,51,55,,,581,10,58,100,B,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350697,35,LAKE,0697,EUSTIS MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,45,51,43,52,40,51,,,469,9,52,97,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350701,35,LAKE,0701,SOUTH LAKE HIGH SCHOOL,03,Senior High,NO,NO,N,54,58,33,35,69,71,91,75,584,10,58,98,B,B,73.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350801,35,LAKE,0801,EAST RIDGE HIGH SCHOOL,03,Senior High,NO,NO,N,61,58,48,48,80,77,97,80,654,10,65,98,A,B,51.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
350901,35,LAKE,0901,LAKE MINNEOLA HIGH SCHOOL,03,Senior High,NO,NO,N,66,57,45,34,73,76,98,70,601,10,60,98,B,B,48.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
357004,35,LAKE,7004,LAKE VIRTUAL FRANCHISE,04,Combination,NO,NO,N,67,67,52,46,78,65,91,52,722,11,66,100,A,C,0,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359027,35,LAKE,9027,PINECREST ACADEMY FOUR CORNERS,04,Combination,YES,NO,N,64,65,58,60,56,81,,,643,10,64,100,A,A,64.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359028,35,LAKE,9028,ALTOONA SCHOOL,01,Elementary,YES,YES,N,69,66,75,76,73,,,,576,8,72,100,A,A,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359031,35,LAKE,9031,IMAGINE SCHOOLS AT SOUTH LAKE,04,Combination,YES,NO,N,73,57,85,70,69,89,,,728,10,73,100,A,A,21.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359039,35,LAKE,9039,PINECREST ACADEMY TAVARES,04,Combination,YES,NO,N,73,74,77,69,65,90,,,736,10,74,100,A,A,51,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359041,35,LAKE,9041,PINECREST LAKES ACADEMY,04,Combination,YES,NO,N,87,68,92,65,82,96,,,806,10,81,100,A,A,25.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
359061,35,LAKE,9061,PINECREST LAKES MIDDLE/HIGH ACADEMY,03,Senior High,YES,NO,N,83,69,80,79,88,78,98,84,800,10,80,99,A,A,24.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490005,49,OSCEOLA,0005,TOHOPEKALIGA HIGH SCHOOL,03,Senior High,NO,NO,N,63,66,46,51,70,71,92,59,651,10,65,96,A,B,56.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490011,49,OSCEOLA,0011,HARMONY COMMUNITY SCHOOL,01,Elementary,NO,NO,N,71,71,72,67,72,,,,562,8,70,100,A,A,43,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490040,49,OSCEOLA,0040,NARCOOSSEE MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,59,60,67,62,66,82,,,591,9,66,99,A,A,49.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490041,49,OSCEOLA,0041,DISCOVERY INTERMEDIATE SCHOOL,02,Middle/Junior,NO,YES,N,47,58,37,51,48,79,,,500,9,56,95,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490042,49,OSCEOLA,0042,KISSIMMEE ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,47,65,38,48,49,,,,420,8,53,100,C,C,87.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490043,49,OSCEOLA,0043,NARCOOSSEE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,67,60,65,50,58,,,,467,8,58,99,B,B,42,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490061,49,OSCEOLA,0061,CENTRAL AVENUE ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,29,54,35,52,27,,,,344,8,43,98,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490071,49,OSCEOLA,0071,HIGHLANDS ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,38,45,38,31,45,,,,329,8,41,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490081,49,OSCEOLA,0081,OSCEOLA HIGH SCHOOL,03,Senior High,NO,YES,N,46,58,40,48,65,67,95,49,585,10,59,96,B,C,85.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490091,49,OSCEOLA,0091,DENN JOHN MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,34,46,34,44,26,59,,,414,9,46,96,C,C,99.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490101,49,OSCEOLA,0101,THACKER AVENUE ELEMENTARY FOR INTERNATIONAL STUDIES,01,Elementary,NO,YES,N,38,53,46,55,41,,,,352,8,44,97,C,D,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490111,49,OSCEOLA,0111,ST. CLOUD ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,65,62,66,51,69,,,,483,8,60,100,B,C,78.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490131,49,OSCEOLA,0131,BRIDGEPREP ACADEMY OF ST.CLOUD,04,Combination,YES,NO,N,57,62,47,45,38,67,,,535,10,54,99,C,C,52.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490149,49,OSCEOLA,0149,RENAISSANCE CHARTER SCHOOL AT POINCIANA,04,Combination,YES,YES,N,44,55,50,54,50,61,,,553,10,55,100,C,C,90.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490152,49,OSCEOLA,0152,FOUR CORNERS UPPER SCHOOL,04,Combination,YES,NO,N,54,61,46,51,57,72,96,76,716,11,65,99,A,B,68.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490153,49,OSCEOLA,0153,FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,04,Combination,YES,NO,N,39,43,20,37,29,50,,,391,10,39,97,D,C,25.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490155,49,OSCEOLA,0155,VICTORY CHARTER SCHOOL,04,Combination,YES,YES,N,39,60,33,56,41,56,87,41,590,11,54,99,C,C,65.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490163,49,OSCEOLA,0163,MATER BRIGHTON LAKES,04,Combination,YES,YES,N,51,62,53,64,42,65,,,572,10,57,99,B,C,82.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490171,49,OSCEOLA,0171,RENAISSANCE CHARTER SCHOOL AT TAPESTRY,04,Combination,YES,YES,N,51,64,61,71,55,77,,,642,10,64,100,A,B,69,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490181,49,OSCEOLA,0181,OSCEOLA SCIENCE CHARTER SCHOOL,04,Combination,YES,NO,N,65,62,70,67,66,69,,,675,10,68,99,A,A,51.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490182,49,OSCEOLA,0182,LINCOLN-MARTI CHARTER SCHOOLS(OSCEOLA CAMPUS),01,Elementary,YES,YES,N,55,67,42,43,20,,,,291,6,49,100,C,C,93.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490183,49,OSCEOLA,0183,SPORTS LEADERSHIP ARTS MANAGEMENT (SLAM),02,Middle/Junior,YES,YES,N,79,67,61,56,75,92,,,630,9,70,100,A,A,74.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490184,49,OSCEOLA,0184,BRIDGEPREP ACADEMY OSCEOLA COUNTY,04,Combination,YES,YES,N,41,52,43,58,29,71,,,534,10,53,97,C,C,87.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490185,49,OSCEOLA,0185,MATER PALMS ACADEMY,04,Combination,YES,YES,N,61,65,62,62,46,75,,,622,10,62,98,B,B,66.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490191,49,OSCEOLA,0191,RENAISSANCE ACADEMY OF ARTS AND SCIENCES,04,Combination,YES,NO,N,51,61,48,50,59,64,,,582,10,58,100,B,C,58.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490192,49,OSCEOLA,0192,CREATIVE INSPIRATION JOURNEY SCHOOL OF ST CLOUD,04,Combination,YES,NO,N,55,51,42,52,49,71,,,467,10,47,98,C,C,42.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490201,49,OSCEOLA,0201,ST. CLOUD HIGH SCHOOL,03,Senior High,NO,NO,N,50,53,40,48,69,73,94,65,601,10,60,97,B,B,53.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490202,49,OSCEOLA,0202,MATER ACADEMY AT ST CLOUD,04,Combination,YES,YES,N,61,66,57,66,41,76,,,639,10,64,100,A,B,69.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490203,49,OSCEOLA,0203,VICTORY CHARTER SCHOOL K-5,01,Elementary,YES,NO,N,43,54,38,46,30,,,,344,8,43,99,C,C,72.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490251,49,OSCEOLA,0251,KISSIMMEE MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,42,58,50,67,49,72,,,553,9,61,97,B,C,87.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490252,49,OSCEOLA,0252,HARMONY MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,60,58,64,66,61,77,,,583,9,65,99,A,B,45.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490271,49,OSCEOLA,0271,MICHIGAN AVENUE ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,53,65,59,62,47,,,,458,8,57,100,B,B,87.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490272,49,OSCEOLA,0272,ST. CLOUD MIDDLE SCHOOL,02,Middle/Junior,NO,NO,N,59,61,67,68,61,74,,,591,9,66,99,A,B,76.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490300,49,OSCEOLA,0300,KOA ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,40,50,37,58,36,,,,364,8,46,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490301,49,OSCEOLA,0301,REEDY CREEK ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,62,63,47,51,52,,,,459,8,57,100,B,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490302,49,OSCEOLA,0302,WESTSIDE K-8 SCHOOL,04,Combination,NO,YES,N,51,58,50,58,55,78,,,601,10,60,99,B,B,70.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490311,49,OSCEOLA,0311,NEPTUNE MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,56,62,65,65,67,84,,,615,9,68,98,A,A,75.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490321,49,OSCEOLA,0321,VENTURA ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,48,54,49,51,45,,,,384,8,48,100,C,B,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490341,49,OSCEOLA,0341,HORIZON MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,46,54,56,68,49,63,,,538,9,60,98,B,C,94,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490401,49,OSCEOLA,0401,BOGGY CREEK ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,45,61,41,52,40,,,,419,8,52,100,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490501,49,OSCEOLA,0501,HICKORY TREE ELEMENTARY SCHOOL,01,Elementary,NO,NO,N,60,57,62,57,56,,,,443,8,55,100,B,B,49.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490601,49,OSCEOLA,0601,GATEWAY HIGH SCHOOL,03,Senior High,NO,YES,N,59,64,43,49,78,71,94,52,636,10,64,95,A,B,71.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490701,49,OSCEOLA,0701,MILL CREEK ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,39,46,39,35,32,,,,324,8,41,99,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490711,49,OSCEOLA,0711,CELEBRATION K-8,04,Combination,NO,NO,N,70,67,76,77,69,89,,,749,10,75,100,A,A,33.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490801,49,OSCEOLA,0801,LAKEVIEW ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,53,50,52,51,64,,,,423,8,53,99,C,B,90.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490811,49,OSCEOLA,0811,PLEASANT HILL ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,39,52,45,43,45,,,,344,8,43,96,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490821,49,OSCEOLA,0821,PARKWAY MIDDLE SCHOOL,02,Middle/Junior,NO,YES,N,39,55,43,61,35,70,,,517,9,57,100,B,C,96,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490831,49,OSCEOLA,0831,DEERWOOD ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,44,63,41,52,47,,,,411,8,51,96,C,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490841,49,OSCEOLA,0841,POINCIANA HIGH SCHOOL,03,Senior High,NO,YES,N,54,62,39,50,66,79,97,62,635,10,64,96,A,C,85.2,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490842,49,OSCEOLA,0842,LIBERTY HIGH SCHOOL,03,Senior High,NO,YES,N,46,57,37,48,59,74,88,37,569,10,57,96,B,C,98,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490851,49,OSCEOLA,0851,CYPRESS ELEMENTARY SCHOOL,01,Elementary,NO,YES,N,48,59,48,69,42,,,,440,8,55,99,B,C,100,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490852,49,OSCEOLA,0852,ACADEMIR PREPARATORY OF CHAMPIONSGATE,01,Elementary,YES,NO,N,46,52,56,60,39,,,,438,8,55,99,B,C,62.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490853,49,OSCEOLA,0853,NEW DIMENSIONS HIGH SCHOOL,03,Senior High,YES,YES,N,70,69,61,71,77,74,97,98,771,10,77,99,A,A,84.1,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490862,49,OSCEOLA,0862,PROFESSIONAL & TECHNICAL HIGH SCHOOL,03,Senior High,NO,YES,N,92,70,79,64,92,97,100,100,838,10,84,100,A,A,61.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490863,49,OSCEOLA,0863,FOUR CORNERS CHARTER SCHOOL,01,Elementary,YES,YES,N,65,67,66,60,73,,,,513,8,64,99,A,B,79.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
490866,49,OSCEOLA,0866,KISSIMMEE CHARTER ACADEMY,04,Combination,YES,YES,N,47,55,39,51,37,47,,,511,10,51,99,C,C,81.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx
